topic	study
CD001920	10883789
CD001920	10891901
CD001920	10892617
CD001920	10896003
CD001920	10896011
CD001920	10906634
CD001920	10917905
CD001920	1092411
CD001920	10926160
CD001920	10926239
CD001920	10926942
CD001920	10932665
CD001920	10935771
CD001920	10943748
CD001920	10945421
CD001920	10948073
CD001920	10957698
CD001920	10960936
CD001920	10962118
CD001920	10964174
CD001920	10969256
CD001920	10973679
CD001920	10974336
CD001920	10979540
CD001920	10983380
CD001920	10985439
CD001920	10987594
CD001920	10993852
CD001920	11005744
CD001920	11010932
CD001920	11022070
CD001920	11022639
CD001920	11022928
CD001920	11028795
CD001920	11034725
CD001920	11035129
CD001920	11035478
CD001920	11037003
CD001920	11042233
CD001920	11043547
CD001920	11043880
CD001920	11052210
CD001920	11053897
CD001920	11054217
CD001920	11056771
CD001920	11062359
CD001920	11067576
CD001920	11070598
CD001920	11072767
CD001920	11083313
CD001920	11086638
CD001920	11087062
CD001920	11087280
CD001920	11087304
CD001920	11090784
CD001920	11099170
CD001920	11100252
CD001920	11108760
CD001920	11110422
CD001920	11115008
CD001920	11128888
CD001920	11128897
CD001920	11136923
CD001920	11140544
CD001920	11152249
CD001920	11152843
CD001920	11156276
CD001920	11156284
CD001920	11173668
CD001920	11174349
CD001920	11179275
CD001920	11191657
CD001920	11198531
CD001920	11202823
CD001920	11203756
CD001920	11204638
CD001920	11214360
CD001920	11215222
CD001920	11221451
CD001920	11227833
CD001920	11228945
CD001920	11229829
CD001920	11230615
CD001920	11237158
CD001920	11237161
CD001920	11239191
CD001920	11239281
CD001920	11239284
CD001920	11239325
CD001920	11245753
CD001920	11245765
CD001920	11251235
CD001920	11251357
CD001920	11251396
CD001920	11253523
CD001920	11272479
CD001920	11272799
CD001920	11274933
CD001920	11276182
CD001920	11281624
CD001920	11295002
CD001920	11305403
CD001920	11306774
CD001920	11306779
CD001920	11310932
CD001920	11311021
CD001920	11311504
CD001920	11315244
CD001920	11319989
CD001920	11322472
CD001920	11329918
CD001920	11330763
CD001920	11330767
CD001920	11332311
CD001920	11336098
CD001920	11340222
CD001920	11341473
CD001920	11342997
CD001920	11346854
CD001920	11348043
CD001920	11352078
CD001920	11352620
CD001920	1137478
CD001920	11379897
CD001920	11380515
CD001920	11386392
CD001920	11387491
CD001920	11387585
CD001920	11387591
CD001920	11387596
CD001920	11392657
CD001920	11394588
CD001920	11400903
CD001920	11402405
CD001920	11405904
CD001920	11406327
CD001920	11408437
CD001920	11421386
CD001920	11427763
CD001920	11427767
CD001920	11427773
CD001920	11430569
CD001920	11434895
CD001920	11440361
CD001920	11440493
CD001920	11445758
CD001920	11451713
CD001920	11452631
CD001920	11454114
CD001920	11455911
CD001920	11459433
CD001920	11459749
CD001920	11459907
CD001920	11461739
CD001920	11462939
CD001920	11464727
CD001920	11474325
CD001920	11479480
CD001920	11480965
CD001920	11490105
CD001920	11490107
CD001920	11494179
CD001920	11494183
CD001920	11494185
CD001920	1149632
CD001920	11499167
CD001920	11501609
CD001920	11505880
CD001920	11509075
CD001920	11509308
CD001920	11513326
CD001920	11518197
CD001920	11518440
CD001920	11518442
CD001920	11519002
CD001920	11525072
CD001920	11531031
CD001920	11531037
CD001920	11533298
CD001920	11552184
CD001920	11552193
CD001920	11552869
CD001920	11564483
CD001920	11570111
CD001920	11570112
CD001920	11570629
CD001920	11575287
CD001920	11577635
CD001920	11587649
CD001920	11591562
CD001920	11594641
CD001920	1160798
CD001920	11641592
CD001920	11641594
CD001920	11641795
CD001920	1166286
CD001920	11672452
CD001920	11676804
CD001920	11683546
CD001920	11687761
CD001920	11689734
CD001920	11689980
CD001920	11689983
CD001920	11689984
CD001920	11706484
CD001920	11720117
CD001920	11725252
CD001920	11731594
CD001920	11732835
CD001920	11733877
CD001920	11733887
CD001920	11735788
CD001920	11740299
CD001920	11740305
CD001920	11748048
CD001920	11749657
CD001920	11753463
CD001920	11753767
CD001920	11757887
CD001920	11766957
CD001920	11772161
CD001920	11779909
CD001920	11782839
CD001920	11782992
CD001920	11789969
CD001920	11790899
CD001920	11790902
CD001920	11790903
CD001920	11796545
CD001920	11797087
CD001920	11799336
CD001920	1180024
CD001920	11805482
CD001920	11817616
CD001920	11821671
CD001920	11823667
CD001920	11823669
CD001920	11832262
CD001920	11833019
CD001920	11833029
CD001920	11833037
CD001920	11839994
CD001920	11840116
CD001920	11849868
CD001920	11850706
CD001920	11851538
CD001920	11851541
CD001920	11851743
CD001920	11854938
CD001920	11862678
CD001920	11862975
CD001920	11863321
CD001920	11872976
CD001920	11887112
CD001920	11896010
CD001920	11899588
CD001920	11900758
CD001920	11909906
CD001920	11909907
CD001920	11911511
CD001920	11911512
CD001920	11912111
CD001920	11931934
CD001920	11932572
CD001920	11932849
CD001920	11933664
CD001920	11940029
CD001920	11940031
CD001920	11953544
CD001920	11953546
CD001920	11956356
CD001920	11958805
CD001920	11961675
CD001920	11988628
CD001920	11990743
CD001920	11991691
CD001920	11994808
CD001920	11994817
CD001920	11997407
CD001920	11999456
CD001920	11999457
CD001920	12002490
CD001920	12002834
CD001920	12005161
CD001920	12014128
CD001920	12021599
CD001920	12025921
CD001920	12028128
CD001920	12030339
CD001920	12037712
CD001920	12039396
CD001920	12040360
CD001920	12042687
CD001920	12045171
CD001920	12048323
CD001920	12052277
CD001920	12052996
CD001920	12053113
CD001920	12058514
CD001920	12061468
CD001920	12061472
CD001920	12071915
CD001920	12081357
CD001920	12086276
CD001920	12086757
CD001920	12087016
CD001920	12088304
CD001920	12091046
CD001920	12093952
CD001920	12098151
CD001920	12098152
CD001920	12098155
CD001920	12098156
CD001920	12102111
CD001920	12104064
CD001920	12105376
CD001920	12122609
CD001920	12133499
CD001920	12151469
CD001920	12161836
CD001920	12161837
CD001920	12162112
CD001920	12165745
CD001920	12166880
CD001920	12168147
CD001920	12172441
CD001920	12177654
CD001920	12180354
CD001920	12181363
CD001920	12186798
CD001920	12193155
CD001920	12195689
CD001920	12210784
CD001920	12227455
CD001920	12234037
CD001920	12234091
CD001920	12235606
CD001920	12237501
CD001920	12269504
CD001920	12354369
CD001920	12358585
CD001920	12361191
CD001920	12362118
CD001920	12366606
CD001920	12370866
CD001920	12370871
CD001920	12370883
CD001920	1237817
CD001920	12381764
CD001920	12383150
CD001920	12383412
CD001920	12392332
CD001920	12392333
CD001920	12398822
CD001920	12402180
CD001920	12402991
CD001920	12409984
CD001920	12411650
CD001920	12413435
CD001920	12419554
CD001920	12422318
CD001920	12422337
CD001920	12428819
CD001920	12433934
CD001920	12435983
CD001920	12440289
CD001920	12442196
CD001920	12446160
CD001920	12447087
CD001920	12453080
CD001920	12458365
CD001920	12466943
CD001920	12468786
CD001920	12468788
CD001920	12473004
CD001920	1247378
CD001920	12475462
CD001920	12476366
CD001920	12479619
CD001920	12495412
CD001920	12498543
CD001920	12499410
CD001920	12499719
CD001920	12501950
CD001920	12503779
CD001920	12508298
CD001920	12510184
CD001920	12519483
CD001920	12519567
CD001920	12521974
CD001920	12527975
CD001920	12528763
CD001920	12535319
CD001920	12535459
CD001920	12554390
CD001920	12556541
CD001920	12559241
CD001920	12564947
CD001920	12565715
CD001920	12569202
CD001920	12574571
CD001920	12578932
CD001920	12581474
CD001920	12582834
CD001920	12582949
CD001920	12582956
CD001920	12587340
CD001920	12588540
CD001920	12589623
CD001920	12593493
CD001920	12595766
CD001920	12601321
CD001920	12604870
CD001920	12604873
CD001920	12610842
CD001920	12614927
CD001920	12617374
CD001920	12617381
CD001920	12618585
CD001920	12624292
CD001920	12625640
CD001920	12629471
CD001920	12638098
CD001920	12638112
CD001920	1264003
CD001920	12645445
CD001920	12648001
CD001920	12649653
CD001920	12657330
CD001920	12657390
CD001920	12663877
CD001920	12663880
CD001920	12665987
CD001920	12671192
CD001920	12679219
CD001920	12686794
CD001920	12687807
CD001920	12689783
CD001920	12690231
CD001920	12690583
CD001920	12690593
CD001920	12690909
CD001920	12704274
CD001920	12730341
CD001920	12735201
CD001920	12735531
CD001920	12735533
CD001920	12736875
CD001920	12739240
CD001920	12741857
CD001920	12746700
CD001920	12746719
CD001920	12752890
CD001920	12760210
CD001920	12763642
CD001920	12767646
CD001920	12776225
CD001920	12782453
CD001920	12783052
CD001920	12785439
CD001920	12793140
CD001920	12794092
CD001920	12804415
CD001920	12807366
CD001920	12808544
CD001920	12808545
CD001920	12808550
CD001920	12808552
CD001920	12813331
CD001920	12814053
CD001920	12817655
CD001920	12819541
CD001920	12820789
CD001920	1282178
CD001920	1282586
CD001920	1282764
CD001920	12829654
CD001920	12840625
CD001920	12840628
CD001920	12840630
CD001920	12840647
CD001920	1284158
CD001920	12845826
CD001920	12848876
CD001920	12855307
CD001920	12857764
CD001920	12859604
CD001920	12862331
CD001920	12867883
CD001920	12871456
CD001920	12876632
CD001920	12880404
CD001920	12881816
CD001920	12881833
CD001920	12881842
CD001920	12882677
CD001920	12886549
CD001920	12889203
CD001920	12891166
CD001920	12900700
CD001920	12902962
CD001920	12907818
CD001920	12910188
CD001920	12910861
CD001920	12916645
CD001920	12917829
CD001920	12917850
CD001920	12917932
CD001920	12917945
CD001920	12917950
CD001920	12917998
CD001920	12924807
CD001920	12928130
CD001920	12928760
CD001920	12930193
CD001920	12943177
CD001920	12944160
CD001920	12945875
CD001920	12947427
CD001920	12948036
CD001920	12958080
CD001920	12960916
CD001920	12964946
CD001920	12971703
CD001920	12971704
CD001920	12971710
CD001920	12972864
CD001920	1297878
CD001920	13130174
CD001920	13130185
CD001920	1320538
CD001920	1337160
CD001920	1349062
CD001920	1353350
CD001920	1354938
CD001920	135853
CD001920	1369722
CD001920	1373366
CD001920	1375679
CD001920	1389713
CD001920	1389734
CD001920	1401617
CD001920	1405572
CD001920	1410527
CD001920	1413979
CD001920	1424411
CD001920	1426792
CD001920	1433160
CD001920	1435172
CD001920	1444770
CD001920	1444771
CD001920	1444777
CD001920	1447078
CD001920	14499809
CD001920	14502039
CD001920	14503435
CD001920	14503438
CD001920	14507107
CD001920	14509891
CD001920	1451130
CD001920	14518528
CD001920	14518543
CD001920	14518796
CD001920	14523298
CD001920	14533369
CD001920	14551548
CD001920	14551687
CD001920	14557213
CD001920	14557690
CD001920	14559955
CD001920	14561048
CD001920	14565628
CD001920	14566153
CD001920	14568122
CD001920	14577825
CD001920	14585532
CD001920	1458574
CD001920	14586909
CD001920	14586912
CD001920	14586916
CD001920	14595077
CD001920	14602851
CD001920	1460355
CD001920	14606736
CD001920	14606739
CD001920	14606741
CD001920	14607208
CD001920	14615613
CD001920	14617717
CD001920	14618287
CD001920	14618940
CD001920	14622649
CD001920	14624296
CD001920	14627753
CD001920	14627929
CD001920	14629937
CD001920	1463378
CD001920	14634366
CD001920	14636810
CD001920	14639559
CD001920	14639571
CD001920	14639572
CD001920	14639573
CD001920	14643273
CD001920	1464952
CD001920	14661987
CD001920	14662253
CD001920	14668149
CD001920	14669180
CD001920	14669524
CD001920	14670577
CD001920	14677216
CD001920	14677218
CD001920	14682551
CD001920	14682552
CD001920	14685866
CD001920	14692346
CD001920	14694856
CD001920	14707782
CD001920	14710024
CD001920	14718492
CD001920	14727939
CD001920	14728636
CD001920	14739418
CD001920	14743142
CD001920	14743578
CD001920	14748460
CD001920	14749291
CD001920	14754942
CD001920	14758293
CD001920	14758294
CD001920	14763717
CD001920	14763726
CD001920	14767239
CD001920	1485475
CD001920	1487848
CD001920	1488755
CD001920	1490963
CD001920	1493777
CD001920	14960293
CD001920	14963679
CD001920	14966700
CD001920	14966711
CD001920	14966713
CD001920	14966771
CD001920	14968384
CD001920	14970962
CD001920	14971963
CD001920	14971968
CD001920	14974012
CD001920	14974019
CD001920	14977673
CD001920	14984181
CD001920	14986414
CD001920	14988574
CD001920	14998093
CD001920	14999029
CD001920	15001789
CD001920	15014214
CD001920	15016635
CD001920	15026497
CD001920	15029553
CD001920	15031835
CD001920	15033898
CD001920	15035962
CD001920	15036431
CD001920	15053131
CD001920	15056184
CD001920	15056827
CD001920	15058115
CD001920	15060772
CD001920	15063436
CD001920	15066528
CD001920	15068184
CD001920	15070123
CD001920	15076012
CD001920	15077661
CD001920	15080229
CD001920	15083291
CD001920	15083439
CD001920	15083440
CD001920	15083445
CD001920	15083635
CD001920	15086230
CD001920	15087552
CD001920	1508970
CD001920	15093977
CD001920	15097171
CD001920	15100637
CD001920	15105515
CD001920	15105723
CD001920	15107919
CD001920	15109523
CD001920	15121495
CD001920	15129403
CD001920	15130715
CD001920	15132325
CD001920	15145879
CD001920	15150355
CD001920	15150814
CD001920	15153151
CD001920	15153824
CD001920	15160271
CD001920	15163994
CD001920	15166917
CD001920	15167109
CD001920	15179104
CD001920	15179169
CD001920	15179638
CD001920	15179639
CD001920	15179640
CD001920	15179643
CD001920	15180118
CD001920	15180130
CD001920	15180793
CD001920	15191707
CD001920	15192250
CD001920	15193814
CD001920	15196091
CD001920	15199353
CD001920	15204475
CD001920	15207843
CD001920	15209454
CD001920	15214597
CD001920	1521962
CD001920	15221178
CD001920	15228804
CD001920	15230484
CD001920	15232500
CD001920	15241719
CD001920	15241753
CD001920	15241758
CD001920	15243171
CD001920	15243747
CD001920	15246998
CD001920	15250006
CD001920	15253956
CD001920	15258317
CD001920	15259325
CD001920	15262041
CD001920	15266359
CD001920	1527133
CD001920	1527304
CD001920	15274256
CD001920	15277738
CD001920	15277960
CD001920	15286181
CD001920	15286954
CD001920	15292771
CD001920	15293485
CD001920	15293487
CD001920	15293488
CD001920	15293489
CD001920	15294219
CD001920	15295748
CD001920	15296684
CD001920	15308957
CD001920	15310746
CD001920	15311830
CD001920	15314537
CD001920	15315486
CD001920	15320677
CD001920	15320844
CD001920	15336283
CD001920	15337612
CD001920	15341557
CD001920	15342807
CD001920	1534714
CD001920	15353866
CD001920	15354033
CD001920	15358024
CD001920	15362328
CD001920	15367503
CD001920	15368898
CD001920	15370731
CD001920	15370749
CD001920	15375808
CD001920	15375810
CD001920	15381386
CD001920	1543423
CD001920	15455905
CD001920	15456102
CD001920	15458061
CD001920	15464871
CD001920	1546646
CD001920	15468017
CD001920	15468020
CD001920	15468021
CD001920	15468029
CD001920	15469189
CD001920	15470825
CD001920	15472114
CD001920	15472603
CD001920	15473116
CD001920	15473121
CD001920	15480948
CD001920	15480949
CD001920	15489384
CD001920	15490272
CD001920	1549032
CD001920	1549035
CD001920	15494583
CD001920	15495043
CD001920	15495079
CD001920	15497024
CD001920	15497363
CD001920	15497364
CD001920	15498830
CD001920	15502268
CD001920	15502276
CD001920	15502279
CD001920	15503549
CD001920	155044
CD001920	15504627
CD001920	15506048
CD001920	15517222
CD001920	15520977
CD001920	15523320
CD001920	15523532
CD001920	15527446
CD001920	15531051
CD001920	15531998
CD001920	15534525
CD001920	1553457
CD001920	15536037
CD001920	15537991
CD001920	15537995
CD001920	15537996
CD001920	15540634
CD001920	1554153
CD001920	15543442
CD001920	15543446
CD001920	15556775
CD001920	15558381
CD001920	15562177
CD001920	15563372
CD001920	15564229
CD001920	15565994
CD001920	15569875
CD001920	15570134
CD001920	15572994
CD001920	15573830
CD001920	15573838
CD001920	15589189
CD001920	15592985
CD001920	15595305
CD001920	15599841
CD001920	15605345
CD001920	15609475
CD001920	15609840
CD001920	15609844
CD001920	15613738
CD001920	15617743
CD001920	15618441
CD001920	15621324
CD001920	15624566
CD001920	1563130
CD001920	1563371
CD001920	15634731
CD001920	15635273
CD001920	15642913
CD001920	15644624
CD001920	15648667
CD001920	15651383
CD001920	15657220
CD001920	15670547
CD001920	15673840
CD001920	15673841
CD001920	15674305
CD001920	15675432
CD001920	15677573
CD001920	15679916
CD001920	15679937
CD001920	15685469
CD001920	15686288
CD001920	15686289
CD001920	15706048
CD001920	15716162
CD001920	15718355
CD001920	15724919
CD001920	15725138
CD001920	15726483
CD001920	15726487
CD001920	15726575
CD001920	15736001
CD001920	15743283
CD001920	15748121
CD001920	15749444
CD001920	15753963
CD001920	15759216
CD001920	15759218
CD001920	15759242
CD001920	15759527
CD001920	15759528
CD001920	15759529
CD001920	15760491
CD001920	1576853
CD001920	1576854
CD001920	15773269
CD001920	15774609
CD001920	15782062
CD001920	15787662
CD001920	15788330
CD001920	15788332
CD001920	15788340
CD001920	15790665
CD001920	15791633
CD001920	15792506
CD001920	15793788
CD001920	15795434
CD001920	15798363
CD001920	1579962
CD001920	15811982
CD001920	15813400
CD001920	15817001
CD001920	1582138
CD001920	15822545
CD001920	15823628
CD001920	15823991
CD001920	15824047
CD001920	15825240
CD001920	15827931
CD001920	15827942
CD001920	15829777
CD001920	15831798
CD001920	15835284
CD001920	15840751
CD001920	15842190
CD001920	15848261
CD001920	15849032
CD001920	15850127
CD001920	15852404
CD001920	15855919
CD001920	15859527
CD001920	15860686
CD001920	15861964
CD001920	15862218
CD001920	15864005
CD001920	1586760
CD001920	1586821
CD001920	15875101
CD001920	15876617
CD001920	15876629
CD001920	15879335
CD001920	1588521
CD001920	15886663
CD001920	15887025
CD001920	15890545
CD001920	15890990
CD001920	15891919
CD001920	1589703
CD001920	15908277
CD001920	15911118
CD001920	15917061
CD001920	15924510
CD001920	15924710
CD001920	15929503
CD001920	15947263
CD001920	15947280
CD001920	15950114
CD001920	15950853
CD001920	15959799
CD001920	15964648
CD001920	15965585
CD001920	15968577
CD001920	15968892
CD001920	1597218
CD001920	1597222
CD001920	1597229
CD001920	15985456
CD001920	15990412
CD001920	15990417
CD001920	15991867
CD001920	15994479
CD001920	15995042
CD001920	15996597
CD001920	15999866
CD001920	16003293
CD001920	16003449
CD001920	16011592
CD001920	16024475
CD001920	16032787
CD001920	16034872
CD001920	16034919
CD001920	16034933
CD001920	16037799
CD001920	16038415
CD001920	16040477
CD001920	16040590
CD001920	16043933
CD001920	16046919
CD001920	16046924
CD001920	16048423
CD001920	16060423
CD001920	16060427
CD001920	16060443
CD001920	1607542
CD001920	1607846
CD001920	16083172
CD001920	16084808
CD001920	16084828
CD001920	16087920
CD001920	16088114
CD001920	16093410
CD001920	16093415
CD001920	16093416
CD001920	16095786
CD001920	16096256
CD001920	16097508
CD001920	16101848
CD001920	16109577
CD001920	16109905
CD001920	16109908
CD001920	16118578
CD001920	16119411
CD001920	16121971
CD001920	1614008
CD001920	16141746
CD001920	16146082
CD001920	16151035
CD001920	16162624
CD001920	16168734
CD001920	16175816
CD001920	1617762
CD001920	16180593
CD001920	16180594
CD001920	16180595
CD001920	16180951
CD001920	16181164
CD001920	16181167
CD001920	16181862
CD001920	16181949
CD001920	16181954
CD001920	16183955
CD001920	16186474
CD001920	16194178
CD001920	16194620
CD001920	16195989
CD001920	16198012
CD001920	16198607
CD001920	16200755
CD001920	16200756
CD001920	16205431
CD001920	16214037
CD001920	16224078
CD001920	16224093
CD001920	16227952
CD001920	16230798
CD001920	16234990
CD001920	16236895
CD001920	16236930
CD001920	16237625
CD001920	16237626
CD001920	16244520
CD001920	16245468
CD001920	16246442
CD001920	16250189
CD001920	16250190
CD001920	16250192
CD001920	16250193
CD001920	16253098
CD001920	16254224
CD001920	16256434
CD001920	16259526
CD001920	1626087
CD001920	16263058
CD001920	16263675
CD001920	16267074
CD001920	16267185
CD001920	16268054
CD001920	16269638
CD001920	16269649
CD001920	16271575
CD001920	16272199
CD001920	16272801
CD001920	16274915
CD001920	16278965
CD001920	16280678
CD001920	16282540
CD001920	16286960
CD001920	16287665
CD001920	16288670
CD001920	16295170
CD001920	16296670
CD001920	16298923
CD001920	16304285
CD001920	16304565
CD001920	16306507
CD001920	16309094
CD001920	16309148
CD001920	16320741
CD001920	16320922
CD001920	16321129
CD001920	16322487
CD001920	16322492
CD001920	16328193
CD001920	16331309
CD001920	16333148
CD001920	16333215
CD001920	16335203
CD001920	16337699
CD001920	16339181
CD001920	16339469
CD001920	16343673
CD001920	16344019
CD001920	16344031
CD001920	16356358
CD001920	16357551
CD001920	16359740
CD001920	16359868
CD001920	16360062
CD001920	1636182
CD001920	16372168
CD001920	16373138
CD001920	16373142
CD001920	16382442
CD001920	16385641
CD001920	1638709
CD001920	16388789
CD001920	16388973
CD001920	16392770
CD001920	16393839
CD001920	16398945
CD001920	16399517
CD001920	16399521
CD001920	16400464
CD001920	16401430
CD001920	1640226
CD001920	16405871
CD001920	16410482
CD001920	16413188
CD001920	16414385
CD001920	1642194
CD001920	16422040
CD001920	16425830
CD001920	1642725
CD001920	16427357
CD001920	16431933
CD001920	16432390
CD001920	16433943
CD001920	16442971
CD001920	16444035
CD001920	16445338
CD001920	16446693
CD001920	16447551
CD001920	16449620
CD001920	16455814
CD001920	16462914
CD001920	16468063
CD001920	16477089
CD001920	16480828
CD001920	16483391
CD001920	16484644
CD001920	16485521
CD001920	16488149
CD001920	16488246
CD001920	16490054
CD001920	16491756
CD001920	16493234
CD001920	16499295
CD001920	16499296
CD001920	16500168
CD001920	16500170
CD001920	16502744
CD001920	16505078
CD001920	16506873
CD001920	16508315
CD001920	16508578
CD001920	16510616
CD001920	16514097
CD001920	16515423
CD001920	16516495
CD001920	16517349
CD001920	16517515
CD001920	16519421
CD001920	16525578
CD001920	16528186
CD001920	16541930
CD001920	16541932
CD001920	16541939
CD001920	16547774
CD001920	16548079
CD001920	16553360
CD001920	16556794
CD001920	16565035
CD001920	16567008
CD001920	16567289
CD001920	16571386
CD001920	16571390
CD001920	16571393
CD001920	16571394
CD001920	16579709
CD001920	16600251
CD001920	16601218
CD001920	16605566
CD001920	16610521
CD001920	16612447
CD001920	16614033
CD001920	16625235
CD001920	16625574
CD001920	16626992
CD001920	16628507
CD001920	16629967
CD001920	16634340
CD001920	16634344
CD001920	16640466
CD001920	16640468
CD001920	16649886
CD001920	16650766
CD001920	1667754
CD001920	16679506
CD001920	16680609
CD001920	16680610
CD001920	16684199
CD001920	16685508
CD001920	16688105
CD001920	16688562
CD001920	16691057
CD001920	16696738
CD001920	16698505
CD001920	16707139
CD001920	1670746
CD001920	16711659
CD001920	16714248
CD001920	16719026
CD001920	16719027
CD001920	16719028
CD001920	16719030
CD001920	1672054
CD001920	16720937
CD001920	16731213
CD001920	16731221
CD001920	16731222
CD001920	1673134
CD001920	16733512
CD001920	16735396
CD001920	1673587
CD001920	16739090
CD001920	16754576
CD001920	16755313
CD001920	16761221
CD001920	16761519
CD001920	16766776
CD001920	16774090
CD001920	16774095
CD001920	16775542
CD001920	16777772
CD001920	16780624
CD001920	16780992
CD001920	16786214
CD001920	16790067
CD001920	16791454
CD001920	16792285
CD001920	16796767
CD001920	16801211
CD001920	16802269
CD001920	16802555
CD001920	16813476
CD001920	16813785
CD001920	16813787
CD001920	16814119
CD001920	16817011
CD001920	16824762
CD001920	16825271
CD001920	16825835
CD001920	16835822
CD001920	1683602
CD001920	16836774
CD001920	16837198
CD001920	16841202
CD001920	16843472
CD001920	16850791
CD001920	16856031
CD001920	16857059
CD001920	16858218
CD001920	16873603
CD001920	16873974
CD001920	16874143
CD001920	16874155
CD001920	16874588
CD001920	16875065
CD001920	1687999
CD001920	16885421
CD001920	16885423
CD001920	16888263
CD001920	1688914
CD001920	16894806
CD001920	16895794
CD001920	16900048
CD001920	16902175
CD001920	16906240
CD001920	16915867
CD001920	16917161
CD001920	16917162
CD001920	16926111
CD001920	16928268
CD001920	1693726
CD001920	16937967
CD001920	16940662
CD001920	16943402
CD001920	16944822
CD001920	16944823
CD001920	16948207
CD001920	16956476
CD001920	16959672
CD001920	16960525
CD001920	1696670
CD001920	16969787
CD001920	16977555
CD001920	16982941
CD001920	16984026
CD001920	16984059
CD001920	16991062
CD001920	17000444
CD001920	17008338
CD001920	17008339
CD001920	17012065
CD001920	17016120
CD001920	17019298
CD001920	17019303
CD001920	17021584
CD001920	17023237
CD001920	17023243
CD001920	17024620
CD001920	17030751
CD001920	17036186
CD001920	17041825
CD001920	17046674
CD001920	17052356
CD001920	17053181
CD001920	17065539
CD001920	17065544
CD001920	17065942
CD001920	17067370
CD001920	17067970
CD001920	17071574
CD001920	17072024
CD001920	17072287
CD001920	17077374
CD001920	17079752
CD001920	17081756
CD001920	17082502
CD001920	17084128
CD001920	17084845
CD001920	17088459
CD001920	17092457
CD001920	17093327
