topic	pmid	publication_year
CD001920	30368324	2018
CD001920	30501977	2019
CD001920	30571419	2018
CD001920	30656163	2018
CD001920	30737884	2019
CD001920	30871480	2019
CD001920	30899731	2019
CD001920	30997859	2019
CD001920	31017023	2020
CD001920	31110106	2019
CD001920	31296113	2019
CD001920	31409536	2019
CD001920	31453532	2018
CD001920	31556542	2020
CD001920	31687935	2019
CD001920	31707972	2020
CD001920	31858865	2020
CD001920	31935047	2020
CD001920	32002991	2020
CD001920	32029489	2020
CD001920	32037876	2020
CD001920	32168159	2020
CD001920	32196635	2020
CD001920	32252739	2020
CD001920	32542356	2020
CD001920	32627722	2021
CD001920	32811378	2020
CD001920	32890770	2021
CD001920	32891079	2021
CD001920	32970328	2020
CD001920	32978194	2020
CD001920	33002792	2020
CD001920	33035232	2020
CD001920	33069609	2020
CD001920	33091160	2020
CD001920	33164953	2020
CD001920	33175411	2020
CD001920	33190615	2021
CD001920	33217861	2020
CD001920	33236611	2020
CD001920	33294224	2020
CD001920	33297451	2020
CD001920	33324926	2020
CD001920	33356519	2021
CD001920	33476769	2021
CD001920	33879490	2021
CD001920	34001840	2022
CD001920	34020123	2021
CD001920	34032760	2021
CD001920	34188460	2021
CD001920	34205457	2021
CD001920	34281611	2021
CD001920	34290663	2021
CD001920	34311772	2021
CD001920	34684135	2021
CD001920	34695300	2021
CD001920	34767488	2022
CD001920	34986727	2022
CD001920	35036254	2021
CD001920	35039010	2022
CD001920	35090517	2022
CD001920	35136756	2021
CD001920	35241176	2022
CD001920	35300258	2022
CD001920	35305334	2022
CD001920	35306803	2022
CD001920	35422174	2023
CD001920	35459194	2022
CD001920	35964211	2022
CD001920	36115574	2023
CD001920	36147622	2022
CD001920	36169558	2022
CD001920	36306569	2023
CD001920	36407967	2022
CD001920	36445316	2022
CD001920	36447690	2022
CD001920	36864008	2023
CD001920	39932103	2025
CD001920	40336792	2023
CD010216	26929207	2016
CD010216	31349391	2019
CD010216	31386973	2019
CD010216	33762429	2022
CD010216	34187081	2022
CD010216	34519354	2021
CD010216	34669956	2022
CD010216	34753488	2021
CD010216	34985167	2022
CD010216	36384212	2022
CD010216	36399154	2023
CD010216	37455014	2023
CD010216	37458789	2023
CD010216	37505530	2023
CD010216	37697327	2023
CD010216	37753443	2023
CD010216	37821220	2024
CD010216	37832989	2023
CD010216	37840301	2023
CD010216	37999870	2024
CD010216	38127516	2024
CD010216	38167206	2024
CD010216	38229538	2024
CD010216	38285562	2024
CD010216	38354139	2024
CD010216	38443079	2024
CD010216	38531658	2024
CD010216	39070753	2024
CD010216	39878158	2025
CD013862	37606067	2023
CD014160	24078899	2012
CD014160	25303949	2014
CD014160	27486672	2016
CD014160	27636695	2016
CD014160	28002062	2017
CD014160	29769809	2018
CD014160	31140978	2019
CD014160	31383448	2019
CD014160	32635829	2021
CD014160	33106341	2020
CD014160	33762918	2021
CD014226	11491192	2001
CD014226	17154710	2006
CD014226	26100447	2015
CD014226	31009709	2019
CD014226	31147120	2019
CD014226	31592091	2019
CD014226	32473343	2021
CD014226	32473347	2020
CD014226	32933823	2021
CD014226	36155157	2022
CD014226	36183333	2022
CD014226	36431257	2022
CD014226	38428672	2024
CD014226	39267950	2024
CD014612	24947625	2014
CD014612	25480607	2015
CD014612	28676957	2018
CD014612	34813038	2022
CD014612	37162714	2023
CD014612	37163240	2023
CD015701	17415053	2007
CD015701	22208452	2011
CD015701	23303434	2012
CD015701	25319189	2014
CD015701	25578825	2015
CD015701	26334626	2015
CD015701	27836505	2017
CD015701	28381443	2017
CD015701	29856848	2018
CD015701	30629648	2019
CD015701	31306167	2019
CD015701	31919239	2020
CD015701	31919240	2020
CD015701	33034421	2020
CD015701	33208512	2021
CD015701	33782057	2021
CD015701	33980195	2021
CD015701	35001515	2022
CD015701	35105635	2022
CD015701	35934266	2022
CD015701	37427260	2023
CD015701	38530848	2024
CD015705	16872487	2006
CD015705	17375230	2007
CD015705	18616818	2008
CD015705	19671152	2009
CD015705	21875849	2011
CD015705	23777890	2013
CD015705	25175291	2014
CD015705	25298819	2014
CD015705	27136280	2016
CD015705	27273025	2016
CD015705	27476501	2017
CD015705	27605725	2016
CD015705	27697234	2016
CD015705	27925381	2017
CD015705	28752519	2017
CD015705	30064424	2018
CD015705	30459525	2018
CD015705	31203515	2019
CD015705	31278013	2020
CD015705	31928163	2020
CD015705	33487104	2022
CD015705	34345771	2019
CD015705	34345781	2020
CD015705	34568642	2021
CD015705	39189465	2024
CD015749	10208143	1999
CD015749	15112279	2004
CD015749	15197210	2004
CD015749	15292850	2004
CD015749	15764956	2005
CD015749	18262758	2008
CD015749	20156909	2010
CD015749	20188315	2010
CD015749	20368909	2010
CD015749	22047681	2012
CD015749	22111896	2011
CD015749	22198049	2012
CD015749	23031071	2012
CD015749	23748819	2013
CD015749	24279747	2013
CD015749	25126097	2014
CD015749	25935741	2015
CD015749	26890997	2016
CD015749	27510532	2016
CD015749	28608438	2017
CD015749	28651827	2018
CD015749	29916205	2018
CD015749	30181091	2019
CD015749	30334618	2019
CD015749	31816924	2019
CD015749	33585533	2020
CD015749	33640205	2021
CD015749	34306422	2021
CD015749	34612012	2021
CD015749	34857251	2021
CD015749	35410294	2022
CD015749	35441765	2023
CD015749	36331152	2022
CD015749	36496207	2022
CD015749	37467399	2023
CD015749	37671529	2023
CD015749	38700712	2024
CD015749	39328835	2024
CD015751	2049819	1991
CD015751	2335704	1990
CD015751	2626249	1989
CD015751	8565197	1995
CD015751	12769155	2003
CD015751	15825529	2005
CD015751	16303342	1997
CD015751	20169046	2010
CD015751	21298628	2011
CD015751	24552755	2014
CD015751	26488155	2015
CD015751	26525084	2008
CD015751	27254807	2016
CD015751	27331150	2016
CD015751	27668490	2016
CD015751	27841790	2017
CD015751	28736337	2017
CD015751	28945652	2018
CD015751	30046817	2018
CD015751	30128547	2018
CD015751	30425447	2018
CD015751	31727514	2020
CD015751	32169321	2021
CD015751	32612403	2020
CD015751	33284229	2020
CD015751	34590267	2021
CD015751	37149139	2023
CD015786	7821843	1995
CD015786	11551129	2001
CD015786	16546813	2006
CD015786	16579829	2006
CD015786	16977653	2006
CD015786	17443533	2007
CD015786	17505452	2007
CD015786	18947861	2009
CD015786	19033573	2008
CD015786	19070889	2009
CD015786	19450175	2009
CD015786	19509566	2009
CD015786	19893425	2009
CD015786	20188410	2010
CD015786	20422422	2011
CD015786	21136177	2011
CD015786	22100903	2012
CD015786	22396619	2012
CD015786	23800699	2013
CD015786	23932376	2013
CD015786	24361787	2014
CD015786	24472048	2014
CD015786	24475571	2013
CD015786	25386859	2015
CD015786	25450151	2015
CD015786	26244758	2015
CD015786	26905211	2016
CD015786	28067947	2017
CD015786	28981739	2017
CD015786	29058141	2017
CD015786	30952370	2019
CD015786	31953348	2020
CD015786	32938592	2020
CD015786	32981697	2020
CD015786	33087246	2020
CD015786	33397713	2021
CD015786	33782057	2021
CD015786	33869716	2021
CD015786	34022445	2021
CD015786	34085796	2021
CD015786	34226291	2021
CD015786	34728527	2021
CD015786	34750199	2022
CD015786	35224545	2022
CD015786	35236752	2022
CD015786	36047376	2022
CD015786	36801150	2023
CD015786	37696217	2023
CD015786	37699707	2023
CD015786	38572751	2024
CD015786	38658017	2024
CD015786	39153831	2024
CD015786	40492478	2025
CD015802	16707748	2006
CD015802	25758005	2015
CD015802	28875061	2017
CD015802	30242903	2019
CD015802	31712401	2019
CD015802	32079435	2022
CD015802	33625665	2021
CD015802	35691280	2022
CD015802	37791592	2023
CD015802	37905735	2023
CD015802	39045901	2024
CD015804	17675159	2008
CD015804	31047530	2018
CD015804	31764612	2020
CD015804	31872517	2020
CD015804	32270611	2020
CD015804	33957183	2022
CD015804	34295147	2021
CD015804	34464210	2021
CD015804	34656987	2023
CD015804	35243139	2022
CD015804	35278204	2022
CD015804	35852882	2022
CD015804	35918962	2022
CD015804	35918963	2022
CD015804	36374913	2022
CD015804	36520462	2023
CD015804	36623249	2023
CD015804	36810060	2023
CD015804	36872752	2023
CD015804	37179017	2023
CD015804	37289448	2023
CD015804	37493655	2023
CD015804	38829176	2024
CD015820	8213501	1993
CD015820	10420216	1999
CD015820	11151480	2000
CD015820	12242181	2002
CD015820	12742836	2003
CD015820	14597512	2003
CD015820	16531452	2006
CD015820	17953989	2008
CD015820	19584762	2009
CD015820	21091336	2010
CD015820	21274010	2011
CD015820	21399941	2011
CD015820	22390325	2012
CD015820	22989342	2012
CD015820	23688108	2013
CD015820	23697956	2013
CD015820	24615684	2014
CD015820	25097239	2014
CD015820	26278861	2015
CD015820	26951772	2016
CD015820	27418249	2016
CD015820	27832248	2016
CD015820	27929727	2016
CD015820	27965802	2015
CD015820	28617688	2017
CD015820	28636173	2018
CD015820	28761220	2017
CD015820	28895104	2018
CD015820	29024763	2017
CD015820	29196184	2018
CD015820	29204689	2018
CD015820	29905125	2018
CD015820	30325237	2018
CD015820	31272953	2020
CD015820	31325983	2019
CD015820	32345348	2020
CD015820	32657530	2021
CD015820	32999982	2019
CD015820	33045374	2020
CD015820	33621896	2021
CD015820	33835006	2021
CD015820	35086119	2022
CD015820	35393866	2022
CD015820	35512881	2022
CD015820	35934265	2022
CD015820	36306974	2023
CD015820	36497544	2022
CD015820	36536542	2023
CD015820	36736071	2023
CD015820	37515472	2023
CD015820	37976669	2024
CD015820	38345851	2024
CD015820	38429025	2024
CD015890	4992917	1971
CD015890	13470303	1957
CD015890	17413692	2007
CD015890	17592104	2007
CD015890	17908061	2007
CD015890	18790239	2008
CD015890	19105878	2009
CD015890	20091503	2010
CD015890	20132623	2010
CD015890	20505496	2010
CD015890	20819255	2010
CD015890	20926954	2011
CD015890	20937186	2010
CD015890	21197091	2011
CD015890	21423023	2011
CD015890	22238171	2012
CD015890	22571347	2012
CD015890	22791739	2012
CD015890	22911011	2012
CD015890	23324313	2013
CD015890	23343909	2013
CD015890	23636235	2013
CD015890	23675515	2013
CD015890	26048371	2015
CD015890	26091295	2015
CD015890	26613097	2015
CD015890	26937146	2016
CD015890	27835678	2016
CD015890	28280271	2017
CD015890	28915796	2017
CD015890	29029077	2018
CD015890	29437750	2018
CD015890	29668698	2018
CD015890	30654753	2019
CD015890	31186628	2019
CD015890	31319659	2019
CD015890	31656117	2020
CD015890	31718359	2020
CD015890	31931911	2019
CD015890	32005290	2020
CD015890	32126324	2020
CD015890	32273738	2020
CD015890	32476692	2019
CD015890	32607387	2020
CD015890	32726367	2020
CD015890	33664313	2021
CD015890	33688264	2021
CD015890	34104377	2021
CD015890	34586087	2022
CD015890	34746447	2021
CD015890	34926543	2021
CD015890	35296472	2022
CD015890	35308808	2022
CD015890	35387594	2022
CD015890	35586458	2022
CD015890	35709199	2022
CD015890	35921384	2022
CD015890	36171396	2022
CD015890	36539721	2022
CD015890	36695980	2023
CD015890	36728618	2023
CD015890	37130994	2023
CD016058	21215528	2011
CD016058	31388599	2019
CD016058	32356774	2020
CD016058	33411338	2021
CD016058	33466912	2021
CD016058	33999133	2021
CD016058	35777699	2022
CD016058	36549102	2023
CD016058	37403047	2023
CD016058	37696529	2023
CD016058	37965949	2023
CD016058	38116264	2023
CD016058	38189560	2024
CD016058	38192585	2023
CD016058	38709500	2024
CD016058	38752949	2024
CD016058	38929055	2024
CD016058	39777614	2025
CD016058	39884824	2025
CD016070	24675585	2014
CD016070	26156025	2015
CD016070	26427365	2015
CD016070	28063795	2017
CD016070	29982375	2019
CD016070	30192649	2019
CD016070	30546093	2019
CD016070	30865176	2019
CD016070	31039161	2019
CD016070	31550246	2019
CD016070	31633613	2020
CD016070	31753806	2020
CD016070	32357197	2020
CD016070	33076996	2020
CD016070	33437678	2020
CD016070	33575422	2021
CD016070	33740905	2021
CD016070	33782057	2021
CD016070	34416013	2021
CD016070	34952913	2021
CD016070	35197162	2022
CD016070	35219884	2022
CD016070	35644157	2022
CD016070	35913145	2022
CD016070	36600434	2022
CD016070	36854097	2023
CD016070	36883573	2023
CD016070	37127703	2023
CD016070	37233720	2023
CD016070	38134020	2023
CD016070	38249371	2023
CD016070	38820372	2024
CD016070	39047241	2024
CD016070	39908066	2024
CD016070	40492485	2025
CD016071	23580738	2013
CD016071	28234079	2017
CD016071	28886729	2017
CD016071	29028662	2018
CD016071	30378470	2019
CD016071	32421765	2021
CD016071	33864930	2021
CD016071	34049948	2021
CD016071	34140291	2022
CD016071	34159066	2021
CD016071	37505646	2023
CD016071	38685921	2024
CD016071	39007063	2024
CD016071	39908067	2024
CD016071	40388555	2025
CD016071	40497466	2025
